company_name,work_hours,job_titles,skills
Davenport-Moyer,08:03 - 16:48,"['Graphic designer', 'Airline pilot', 'Waste management officer', 'Licensed conveyancer', 'Telecommunications researcher', 'Museum/gallery exhibitions officer', 'Printmaker', 'Scientist, biomedical']","[['recognize', 'or', 'pretty'], ['help', 'relationship', 'go', 'score'], ['authority'], ['rest', 'behind', 'among'], ['left'], ['education'], ['position', 'easy', 'door', 'system', 'parent'], ['carry', 'make', 'social', 'seek']]"
Flores-Watkins,23:35 - 03:45,"['Intelligence analyst', 'Immunologist', 'Sports development officer', 'Astronomer', 'Hydrologist', 'Chiropodist', 'Dancer', 'Retail merchandiser', 'Forensic scientist', 'Marine scientist']","[['loss', 'American', 'drug', 'tree', 'wish'], ['call', 'town', 'enter', 'national', 'alone'], ['film'], ['buy', 'network'], ['college', 'public', 'different'], ['upon'], ['against', 'forward', 'leave', 'institution'], ['career', 'more', 'particular', 'team', 'among'], ['nor'], ['nearly']]"
Glenn PLC,17:38 - 00:33,"['Chemist, analytical', 'Diagnostic radiographer', 'Exercise physiologist']","[['each', 'policy', 'manage', 'especially', 'meet'], ['than', 'speech', 'even', 'citizen', 'executive'], ['understand', 'under', 'tough', 'certain']]"
Lopez-Cook,11:03 - 04:56,"['Journalist, broadcasting', 'Public relations account executive']","[['democratic', 'drug', 'maybe', 'value'], ['success', 'now', 'hospital']]"
"Rivera, Mays and Arellano",13:35 - 15:21,"['Probation officer', 'Nature conservation officer', 'Advertising account planner', 'Tax adviser', 'Youth worker', 'Psychotherapist', 'Community development worker', 'Engineer, manufacturing', 'Conservator, furniture']","[['fire'], ['throughout', 'role', 'above', 'federal', 'upon'], ['federal', 'beyond', 'serious', 'plant'], ['recognize'], ['nice'], ['forward'], ['story', 'trial', 'man', 'choice'], ['suffer', 'account', 'international', 'particularly', 'ahead'], ['officer', 'teacher', 'very', 'day', 'finish']]"
Ellis-Wyatt,19:43 - 12:08,"['Water quality scientist', 'Sports development officer', 'Film/video editor', 'Civil Service administrator', 'Records manager', 'Scientist, product/process development']","[['room', 'those', 'design', 'modern'], ['consider'], ['soon', 'ago', 'picture', 'such'], ['firm', 'question', 'chair'], ['positive'], ['view']]"
Neal-Bennett,06:55 - 20:00,"['Buyer, industrial', 'Scientific laboratory technician', 'Armed forces logistics/support/administrative officer', 'Environmental health practitioner', 'Art therapist', 'Communications engineer', 'Outdoor activities/education manager', 'Commissioning editor']","[['short', 'clearly'], ['everything', 'their'], ['letter', 'street', 'best', 'door'], ['case'], ['economic', 'trade', 'very', 'by'], ['deep', 'take'], ['fight', 'chair', 'lawyer', 'second', 'every'], ['benefit', 'character', 'man', 'require', 'item']]"
Brooks-White,07:01 - 14:55,"['Air cabin crew', 'Gaffer', 'Therapist, drama', 'Comptroller', 'Clinical embryologist', 'Research scientist (medical)', 'Medical secretary', 'Television camera operator']","[['help', 'player', 'word'], ['lay', 'hundred', 'reason'], ['relate', 'wide', 'attorney', 'lawyer'], ['present', 'area'], ['late', 'media', 'important'], ['occur', 'couple', 'adult', 'second', 'time'], ['expert', 'anyone', 'space', 'mean'], ['very', 'that', 'ground', 'finally', 'first']]"
"Mack, Valdez and Jacobs",18:00 - 16:17,"['Advertising copywriter', 'Immigration officer', 'Hospital doctor', 'Armed forces training and education officer', 'Office manager', 'Dietitian', 'Tour manager', 'Financial trader', 'Magazine features editor', 'Advertising copywriter']","[['live', 'low', 'population'], ['other'], ['thus', 'turn', 'allow', 'really', 'deep'], ['factor', 'hit'], ['might'], ['ago', 'trip', 'matter', 'notice'], ['every'], ['amount', 'later'], ['matter', 'style', 'message'], ['deep', 'career', 'world', 'science', 'wind']]"
"Clay, Hoffman and Lawson",07:08 - 08:16,"['Nurse, mental health', 'Merchandiser, retail', 'Surveyor, rural practice', 'Government social research officer', 'Biomedical scientist', 'Psychotherapist', 'Programme researcher, broadcasting/film/video', 'Archivist']","[['bank', 'speech', 'speech', 'soon', 'memory'], ['else', 'pick', 'understand', 'factor'], ['exactly'], ['adult', 'strong', 'assume', 'section'], ['gun', 'describe', 'away'], ['including'], ['city', 'if', 'sell'], ['receive', 'but', 'reason', 'offer', 'size']]"
Brown-Rose,20:36 - 19:58,"['Building control surveyor', 'Ambulance person', 'Financial manager', 'Therapist, occupational', 'Structural engineer', 'Arts development officer']","[['southern', 'weight', 'wall', 'science', 'garden'], ['agent', 'reflect', 'begin'], ['read', 'pass'], ['any', 'race', 'more', 'coach', 'write'], ['step', 'attack', 'pretty', 'person'], ['be', 'light', 'attorney']]"
Smith-Clark,09:08 - 05:57,"['Geophysicist/field seismologist', 'Chartered management accountant', 'Chemical engineer']","[['stuff', 'stage', 'tend'], ['war', 'media', 'order', 'she'], ['later']]"
West and Sons,23:45 - 16:12,"['Designer, ceramics/pottery', 'Geologist, wellsite', 'Systems developer', 'Lobbyist', 'Journalist, newspaper', 'Facilities manager']","[['step', 'toward', 'moment', 'treat'], ['seven'], ['almost', 'debate', 'amount'], ['floor', 'lay', 'Republican', 'loss', 'family'], ['others', 'operation', 'cost'], ['relationship', 'anything', 'out']]"
"Fitzgerald, Rios and Anderson",17:25 - 23:17,"['Academic librarian', 'Lecturer, further education', 'Rural practice surveyor', 'Industrial/product designer', 'Firefighter']","[['performance', 'again', 'common', 'doctor'], ['decide', 'study'], ['year', 'clear', 'debate'], ['painting', 'step', 'need', 'computer'], ['especially', 'well']]"
"Allen, Hurley and Davidson",07:03 - 12:17,['Outdoor activities/education manager'],"[['generation', 'piece', 'television']]"
"Moore, Anderson and Smith",14:59 - 17:59,"['Development worker, community', 'Buyer, retail', 'Podiatrist', 'Physicist, medical', 'Engineer, manufacturing', 'Administrator, sports', 'Loss adjuster, chartered']","[['good', 'seem', 'foot'], ['institution'], ['every', 'boy', 'participant', 'simple', 'each'], ['room', 'stay', 'indeed', 'the', 'break'], ['them', 'TV', 'special', 'college'], ['dark'], ['just', 'site', 'consumer', 'performance']]"
"Nelson, Torres and Barker",11:14 - 19:30,"['Librarian, public', 'Control and instrumentation engineer', 'Plant breeder/geneticist']","[['along', 'soldier', 'during', 'necessary'], ['inside', 'way', 'word', 'yeah'], ['bag', 'a', 'final', 'west']]"
"Padilla, Walker and Black",01:11 - 04:36,"['Ophthalmologist', 'Engineer, structural', 'Jewellery designer', 'Database administrator', 'Therapist, horticultural', 'Hotel manager', 'Heritage manager', 'Recruitment consultant', 'IT sales professional', 'Further education lecturer']","[['a', 'successful', 'question'], ['treat'], ['girl', 'table', 'develop', 'line', 'girl'], ['mention', 'attack'], ['world'], ['interview', 'although'], ['decide', 'while', 'share', 'knowledge'], ['away', 'artist', 'gas'], ['fish'], ['product']]"
Mcintosh Ltd,00:23 - 01:06,"['Holiday representative', 'IT trainer', 'Quality manager']","[['yard', 'organization', 'page', 'thank', 'admit'], ['three', 'look'], ['walk', 'art', 'administration', 'fill', 'Congress']]"
Allen LLC,03:52 - 15:32,"['Electronics engineer', 'Writer', 'Educational psychologist', 'Energy manager', 'Electronics engineer', 'Water engineer']","[['office', 'keep', 'somebody', 'change', 'us'], ['mouth'], ['son', 'million', 'person', 'if', 'among'], ['line', 'son', 'century', 'old', 'now'], ['administration', 'smile', 'issue', 'rate', 'those'], ['threat', 'have', 'to']]"
Anderson Group,14:46 - 22:31,"['Therapist, horticultural', 'Community development worker', 'Glass blower/designer', 'Recycling officer']","[['friend'], ['coach', 'decision', 'want', 'job'], ['according'], ['blue', 'sometimes']]"
Hancock LLC,00:12 - 14:20,"['Medical technical officer', 'Engineer, manufacturing systems']","[['large', 'service', 'great'], ['body', 'feel', 'usually', 'age']]"
Howard-Berger,10:16 - 03:20,"['Scientist, forensic', 'Clothing/textile technologist', 'Primary school teacher']","[['huge', 'section', 'born', 'note'], ['movie', 'shake', 'black'], ['break', 'visit', 'action', 'point']]"
Gutierrez Ltd,00:21 - 12:41,"['Technical author', 'Teacher, early years/pre', 'Secretary/administrator', 'Counselling psychologist', 'Clinical research associate', 'Orthoptist']","[['art'], ['man', 'instead', 'Mrs', 'bit'], ['upon', 'mind', 'today', 'same', 'cultural'], ['will', 'west', 'wife', 'serious', 'maintain'], ['thousand', 'seven'], ['woman']]"
Scott-Sosa,03:43 - 17:44,"['Conservator, furniture', 'Programmer, systems', 'Editor, film/video', 'Illustrator', 'Plant breeder/geneticist', 'Accountant, chartered public finance', 'Furniture conservator/restorer', 'Programmer, applications', 'Broadcast presenter', 'Therapist, sports']","[['think', 'follow', 'then', 'foreign', 'late'], ['hold', 'claim'], ['suggest'], ['join', 'buy'], ['toward', 'drop', 'wife'], ['force', 'less', 'scientist'], ['participant', 'military', 'price', 'newspaper'], ['citizen', 'lawyer', 'ground', 'should'], ['little', 'drive', 'guess', 'early', 'hit'], ['age']]"
Foster-Davis,02:24 - 02:53,"['Television floor manager', 'Psychologist, educational', 'Recycling officer', 'Transport planner']","[['pressure', 'wall', 'camera', 'rise', 'travel'], ['industry', 'discuss', 'call'], ['vote'], ['increase']]"
Ford Inc,16:04 - 19:07,"['Architect', 'Administrator, local government', 'Teacher, secondary school', 'Engineer, chemical', 'Firefighter', 'Merchant navy officer', 'Holiday representative', 'Pharmacologist']","[['picture'], ['top', 'movement', 'employee'], ['message', 'medical', 'mission', 'small'], ['popular', 'smile', 'thus', 'whole'], ['fight'], ['ball', 'drug', 'message', 'course'], ['whatever', 'board', 'large'], ['key', 'ever', 'whatever']]"
"Brady, Wright and Guzman",00:20 - 20:16,"['Illustrator', 'Administrator, sports', 'Medical illustrator', 'Science writer']","[['near', 'live', 'reveal'], ['other', 'mention', 'explain', 'shoulder'], ['instead', 'way'], ['yeah', 'require', 'sure', 'piece']]"
"Combs, Newton and Lee",22:41 - 19:09,"['Physicist, medical', 'Water engineer', 'Engineer, chemical', 'Teacher, adult education']","[['respond', 'pass', 'wrong', 'thank', 'to'], ['see'], ['least', 'local', 'amount', 'common'], ['weight', 'crime', 'travel', 'some', 'allow']]"
"Washington, Blackwell and Johnson",09:25 - 20:32,"['Trade union research officer', 'Research scientist (life sciences)', 'Librarian, public', 'Meteorologist', 'Visual merchandiser', 'Physicist, medical', 'Designer, multimedia', 'Chartered accountant', 'Research scientist (physical sciences)']","[['visit', 'husband'], ['small'], ['available', 'material', 'message'], ['its', 'trip', 'heavy', 'quite'], ['after', 'research'], ['sing', 'write'], ['nearly'], ['generation', 'room', 'shoulder', 'term', 'leader'], ['risk', 'again', 'everything', 'cost']]"
Velasquez-Payne,08:46 - 20:36,"['Scientist, research (maths)']",[['second']]
Roberts PLC,00:19 - 14:11,"['Solicitor', 'Administrator, local government', 'Music therapist', 'Engineer, automotive', 'Special effects artist', 'Careers information officer', 'Health physicist']","[['month', 'each', 'sound', 'tree', 'season'], ['research', 'serious'], ['name', 'moment', 'firm', 'simple'], ['message', 'receive', 'inside', 'remain', 'film'], ['ten', 'plan', 'simple'], ['this', 'represent', 'run'], ['question']]"
"Williams, Lee and Hernandez",10:23 - 04:38,"['Theatre manager', 'Sub', 'Research officer, trade union']","[['expert', 'brother', 'reduce', 'bit', 'heavy'], ['company', 'else', 'inside', 'page'], ['word', 'effect', 'way', 'send', 'that']]"
Lawrence Ltd,16:26 - 12:54,['Banker'],[['finally']]
Carroll LLC,18:43 - 01:48,"['Exhibition designer', 'Contractor', 'Radiographer, diagnostic', 'Film/video editor']","[['provide', 'appear', 'well', 'spend', 'authority'], ['weight', 'ball', 'training'], ['beat', 'return', 'figure'], ['floor', 'father', 'window']]"
Barnett Ltd,14:15 - 09:13,"['Associate Professor', 'Exercise physiologist', 'Psychologist, sport and exercise']","[['should'], ['account', 'open'], ['where', 'exactly', 'operation', 'now', 'section']]"
"Hall, Pierce and Christian",09:29 - 06:31,"['Engineer, automotive', 'Water quality scientist', 'Trade union research officer', 'Acupuncturist', 'Editor, film/video']","[['card', 'week', 'enjoy'], ['beyond', 'wide', 'month', 'student', 'player'], ['interview', 'in', 'thing', 'him', 'her'], ['detail'], ['seven', 'early', 'goal', 'walk', 'social']]"
"Barry, Lyons and Callahan",04:40 - 14:45,"['Barrister', 'Engineer, energy', 'Editor, magazine features', 'Physiotherapist', 'Financial adviser', 'Stage manager', 'Civil Service fast streamer', 'Public librarian', 'Travel agency manager']","[['activity', 'partner', 'only'], ['economy', 'later', 'site', 'conference'], ['growth', 'consumer', 'discuss', 'space', 'third'], ['impact', 'poor', 'ahead', 'new', 'president'], ['by', 'on'], ['item', 'almost', 'about', 'class', 'though'], ['type', 'side', 'claim', 'peace', 'owner'], ['owner'], ['campaign']]"
"Young, Heath and Young",04:04 - 06:13,"['Surveyor, planning and development', 'Designer, exhibition/display', 'Fitness centre manager', 'Maintenance engineer']","[['myself', 'style', 'ten'], ['indicate', 'exactly', 'station', 'glass', 'century'], ['recognize'], ['now', 'baby']]"
Ford and Sons,23:42 - 01:41,"['Writer', 'Financial trader', 'Arboriculturist', 'Lawyer', 'Information systems manager']","[['democratic', 'trip', 'place', 'dinner', 'training'], ['after', 'organization', 'little', 'loss', 'ago'], ['present', 'run', 'nature'], ['score'], ['likely']]"
Phillips-Morris,18:38 - 05:06,"['Risk analyst', 'Arboriculturist', 'Occupational therapist']","[['memory'], ['summer', 'common'], ['best', 'change']]"
"Newman, Tran and Hamilton",01:23 - 21:57,"['Field trials officer', 'English as a second language teacher', 'Ceramics designer', 'Journalist, newspaper']","[['street', 'protect', 'wait', 'check', 'apply'], ['life', 'social', 'attention', 'possible'], ['visit', 'answer', 'war'], ['quite', 'forget', 'tax', 'and']]"
Porter PLC,20:41 - 01:53,"['Gaffer', 'Merchandiser, retail', 'Scientist, audiological', 'Scientist, water quality', 'Clothing/textile technologist', 'Engineer, electronics', 'Careers adviser', 'Radio producer', 'Race relations officer', 'Herbalist']","[['admit', 'religious', 'remember', 'suggest'], ['around'], ['attack', 'exactly', 'see', 'girl', 'discussion'], ['cell', 'later', 'owner', 'wide'], ['along', 'always'], ['like', 'to', 'art'], ['task', 'task', 'fire'], ['upon', 'key'], ['factor', 'prepare'], ['cup']]"
Moore-Gray,23:19 - 06:13,"['Landscape architect', 'Maintenance engineer', 'Lexicographer', 'Acupuncturist', 'Ergonomist']","[['cup', 'when', 'subject', 'bad', 'heavy'], ['build', 'ten', 'college', 'factor', 'yes'], ['effect'], ['option'], ['hour', 'create']]"
"Lee, Hartman and Stevens",04:49 - 21:50,['Bonds trader'],[['realize']]
Craig PLC,23:56 - 15:11,"['Best boy', 'Leisure centre manager']","[['black', 'even'], ['example', 'share']]"
Walters Ltd,03:08 - 19:48,"['Chartered management accountant', 'Trading standards officer', 'Transport planner', 'Barrister', 'Environmental health practitioner', 'Regulatory affairs officer']","[['true'], ['worry'], ['practice', 'free', 'window', 'money'], ['next'], ['and', 'college', 'decision'], ['really', 'difficult', 'child']]"
Moreno-Henson,11:41 - 01:47,"['Administrator, charities/voluntary organisations', 'Sports administrator', 'Careers adviser', 'Conference centre manager']","[['way', 'response'], ['woman'], ['then', 'question'], ['door', 'two', 'also']]"
"Rivera, Warren and Flores",17:06 - 02:47,"['Administrator, arts']","[['cost', 'forward', 'most']]"
"Bruce, Brown and Sharp",04:58 - 06:59,"['Teacher, music', 'Medical illustrator', 'Technical author', 'Ceramics designer', 'Scientist, biomedical', 'Food technologist', 'Archaeologist', 'Emergency planning/management officer']","[['actually', 'we', 'spring', 'figure', 'per'], ['girl', 'former'], ['develop', 'carry'], ['develop'], ['want', 'that', 'sometimes', 'deep'], ['same', 'back', 'air'], ['hand', 'anyone', 'them', 'popular', 'itself'], ['purpose', 'process', 'state', 'major', 'employee']]"
Roman LLC,02:59 - 21:13,"['Health and safety inspector', 'Stage manager', 'Pharmacologist', 'Administrator, arts', 'Social research officer, government', 'Textile designer', 'Psychologist, counselling']","[['nothing', 'certainly', 'rather', 'country'], ['finish', 'issue', 'agreement'], ['produce'], ['easy'], ['federal', 'about', 'race'], ['live', 'perform'], ['forward']]"
"Carter, Brown and Robertson",02:52 - 22:11,"['Chief of Staff', 'Youth worker', 'Proofreader', 'Electronics engineer', 'Geophysical data processor']","[['person', 'pay', 'necessary'], ['vote', 'statement'], ['treatment', 'relate', 'easy', 'beyond', 'officer'], ['rest', 'firm'], ['before', 'station', 'including', 'fly']]"
Robinson-Mills,05:09 - 08:06,"['Clinical embryologist', 'Research scientist (maths)', 'Building services engineer', 'Biomedical scientist', 'Scientist, clinical (histocompatibility and immunogenetics)', 'Doctor, general practice', 'Forensic scientist', 'Designer, exhibition/display']","[['which'], ['ball'], ['subject', 'remain', 'language'], ['draw'], ['newspaper', 'year', 'whose', 'author', 'brother'], ['picture'], ['sign', 'TV'], ['traditional', 'man']]"
Mccoy-Morse,22:58 - 05:52,"['Recycling officer', 'Computer games developer', 'Occupational therapist', 'Meteorologist', 'Metallurgist', 'Industrial buyer', 'Tax inspector']","[['a', 'beat', 'though', 'visit', 'list'], ['indeed', 'force', 'seem'], ['listen', 'item', 'teacher'], ['voice', 'include', 'herself', 'science', 'specific'], ['point', 'television', 'military', 'thousand', 'anyone'], ['window'], ['group', 'small', 'television', 'environment']]"
Edwards Ltd,21:45 - 05:33,"['Engineer, control and instrumentation', 'Trade mark attorney', 'Geologist, engineering', 'Geologist, engineering', 'Secondary school teacher', 'Immunologist', 'Phytotherapist', 'Optometrist', 'IT technical support officer']","[['throughout', 'they', 'discussion', 'any', 'side'], ['administration', 'system', 'play', 'opportunity'], ['think'], ['fish', 'prevent', 'ok', 'resource', 'camera'], ['international', 'general'], ['sure', 'option', 'management'], ['choice', 'bank', 'continue', 'personal', 'size'], ['success', 'career', 'author', 'particularly'], ['garden', 'fear', 'daughter', 'leg', 'such']]"
Nguyen and Sons,03:59 - 20:32,"['Communications engineer', 'Horticulturist, amenity']","[['base'], ['current', 'turn', 'than', 'example', 'budget']]"
Williams and Sons,09:08 - 22:11,"['Clinical research associate', 'Accountant, chartered public finance']","[['budget', 'effort', 'visit', 'threat', 'space'], ['consumer', 'sometimes', 'action']]"
"Stewart, Baker and Walker",06:01 - 19:01,"['Contracting civil engineer', 'Product designer', 'Financial adviser']","[['record', 'help', 'figure', 'author'], ['measure', 'learn', 'office', 'that', 'town'], ['simple', 'future']]"
Edwards PLC,23:50 - 07:53,"['Horticulturist, commercial', 'Engineer, land']","[['station', 'sit'], ['agreement']]"
Hernandez-Martin,10:23 - 22:35,"['Chemist, analytical', 'Environmental education officer', 'Television camera operator', 'Editor, film/video', 'Therapist, nutritional', 'Insurance broker', 'Cabin crew']","[['those'], ['record', 'forget', 'it', 'sport', 'tonight'], ['follow', 'if', 'should', 'early'], ['wide', 'red', 'film', 'number', 'way'], ['stop', 'impact'], ['time', 'they'], ['give', 'young', 'impact', 'reveal', 'conference']]"
Gould-Smith,14:36 - 22:50,"['Food technologist', 'Engineer, aeronautical', 'Secretary, company', 'Psychotherapist, dance movement', 'Museum education officer']","[['whatever'], ['major', 'they', 'measure'], ['until'], ['dark'], ['population', 'perform']]"
Smith Group,12:26 - 12:08,"['Conservation officer, historic buildings', 'Psychotherapist, child', 'Purchasing manager', 'Radiation protection practitioner', 'Geochemist', 'Psychologist, educational']","[['sing'], ['result', 'will', 'exist', 'town'], ['adult', 'leg', 'religious'], ['build'], ['rather', 'next', 'wear', 'reduce', 'admit'], ['throughout', 'write', 'effect', 'yet']]"
"Mendoza, Singh and Church",18:08 - 03:57,"['Teacher, early years/pre', 'Outdoor activities/education manager', 'Telecommunications researcher', 'Estate agent', 'Accountant, chartered management', 'Magazine journalist', 'Warehouse manager', 'Academic librarian', 'Equality and diversity officer', 'Therapist, music']","[['white', 'spend', 'choice', 'find'], ['wear', 'course', 'American', 'attorney'], ['pretty', 'son'], ['cultural'], ['wind'], ['serve'], ['might', 'none', 'pick', 'board'], ['score', 'worry', 'Congress'], ['health', 'several', 'show'], ['create', 'it', 'employee', 'begin', 'chair']]"
"Herman, Thompson and Russo",00:29 - 01:29,"['Wellsite geologist', 'Ergonomist', 'Corporate investment banker', 'Energy engineer', 'Production assistant, television', 'Customer service manager']","[['perform', 'upon', 'include', 'return', 'data'], ['south', 'itself'], ['paper', 'think'], ['organization', 'half', 'direction', 'national', 'student'], ['term'], ['front', 'main', 'inside', 'maybe', 'home']]"
"Middleton, Zuniga and Dennis",04:33 - 16:45,"['Engineer, production', 'Clinical psychologist', 'Contracting civil engineer', 'Transport planner', 'Environmental manager', 'Psychologist, occupational', 'Child psychotherapist', 'Textile designer']","[['sea', 'low'], ['history'], ['fine', 'according', 'citizen', 'watch'], ['between', 'group'], ['movement', 'option'], ['now'], ['like', 'hard', 'quite'], ['world', 'book']]"
Fowler-Bell,18:45 - 05:37,"['Quantity surveyor', 'Mining engineer', 'Sports development officer', 'Operational investment banker', 'Community education officer', 'Product designer', 'Rural practice surveyor']","[['fly', 'some', 'white', 'itself', 'interest'], ['serious'], ['ever', 'west'], ['record', 'quite', 'group', 'threat', 'stock'], ['like', 'medical', 'when'], ['along', 'book', 'station'], ['as', 'win']]"
"Morgan, Blankenship and Clark",09:32 - 14:51,"['Marketing executive', 'Optometrist', 'Forensic scientist', 'Radiation protection practitioner', 'Chief Financial Officer', 'Dramatherapist', 'Actor', 'Surveyor, minerals']","[['rock'], ['single'], ['institution'], ['offer', 'weight'], ['fill', 'raise', 'room'], ['theory', 'they', 'reduce', 'size', 'capital'], ['paper', 'then', 'guess', 'less'], ['consumer', 'we', 'number', 'big', 'life']]"
Carter Ltd,04:14 - 15:33,"['Designer, graphic']","[['kid', 'peace', 'soldier', 'environment']]"
Hampton Inc,06:58 - 02:53,"['Engineer, maintenance (IT)', 'Careers information officer', 'Horticulturist, commercial']","[['fly', 'top', 'quickly', 'alone', 'success'], ['action', 'make', 'every', 'during', 'character'], ['probably', 'pattern', 'necessary', 'pick', 'reason']]"
Chen PLC,06:01 - 17:40,"['Proofreader', 'Biochemist, clinical', 'Furniture conservator/restorer', 'Medical secretary', 'Education administrator', 'Doctor, general practice']","[['general', 'player', 'consider', 'maybe', 'song'], ['skin', 'serve', 'line'], ['close'], ['Democrat', 'color', 'attention'], ['scene', 'contain', 'mean', 'company'], ['happen', 'lead']]"
Watson-Moore,14:19 - 07:06,"[""Politician's assistant""]","[['audience', 'change']]"
Wood Group,04:58 - 23:18,"['Operations geologist', 'Environmental education officer', 'Financial adviser']","[['in', 'attack', 'day', 'seek'], ['cup'], ['term']]"
Anthony-Brewer,22:00 - 20:23,"['Clinical molecular geneticist', 'Administrator, Civil Service', 'Social researcher', 'Sales executive']","[['different', 'adult', 'bit'], ['through'], ['religious'], ['yet']]"
Edwards Group,13:14 - 23:00,"['Sales executive', 'Architect', 'Agricultural consultant', 'Horticultural consultant', 'Theatre manager', 'Legal executive']","[['begin', 'security', 'student'], ['huge', 'everybody', 'everybody', 'your', 'word'], ['whether', 'section', 'determine'], ['happy'], ['understand', 'argue', 'physical'], ['movement', 'mouth', 'to', 'civil']]"
"Lin, Herman and Dixon",00:03 - 11:51,"['Surveyor, building control', 'Production manager']","[['dream', 'middle', 'seem', 'prove'], ['hotel']]"
"Erickson, Charles and Blake",07:35 - 23:00,"['Senior tax professional/tax inspector', 'Systems analyst', 'Surveyor, minerals', 'Technical sales engineer', 'Tour manager', 'Chemical engineer', 'Archaeologist', 'Dealer', ""Politician's assistant""]","[['his', 'form', 'enough'], ['song', 'talk', 'education', 'his'], ['again'], ['director', 'able', 'again', 'national', 'fall'], ['audience', 'focus', 'Congress', 'will'], ['idea', 'question', 'leg', 'behind', 'much'], ['last'], ['age', 'such', 'ahead', 'major'], ['leave', 'more', 'face', 'magazine', 'administration']]"
"Howard, Martinez and Wilkins",18:56 - 23:09,"['Medical sales representative', 'Engineer, aeronautical', 'Public house manager', 'Scientist, research (maths)', 'Pensions consultant']","[['develop', 'generation', 'that', 'tree', 'use'], ['part', 'imagine'], ['left', 'difference'], ['stand', 'yeah', 'charge', 'statement'], ['impact']]"
"Nguyen, Sharp and Wilcox",21:43 - 23:16,"['Product/process development scientist', 'Lexicographer']","[['reveal', 'budget', 'wait', 'off', 'style'], ['place', 'statement']]"
Grant-Allen,12:25 - 18:47,"['Scientist, research (maths)', 'Designer, fashion/clothing', 'Patent examiner', 'Prison officer', 'General practice doctor', 'Records manager', 'Geologist, engineering', 'Economist', 'Colour technologist', 'Recruitment consultant']","[['strategy', 'goal', 'us', 'what', 'surface'], ['Mrs', 'effort', 'better', 'tell'], ['herself', 'color', 'involve', 'action'], ['hear', 'too', 'behavior', 'guy'], ['amount', 'student', 'this'], ['yard', 'population', 'fast', 'whom'], ['animal', 'thousand'], ['guess'], ['color', 'drive', 'there', 'beyond', 'city'], ['weight']]"
Ford-Mitchell,19:59 - 18:40,"['Technical author', 'Regulatory affairs officer', 'Research scientist (medical)', 'Production assistant, radio', 'Lexicographer']","[['in', 'play', 'attack', 'base'], ['fight', 'president', 'modern', 'against'], ['purpose', 'like', 'remain'], ['foot'], ['future', 'growth']]"
Tucker and Sons,00:44 - 14:02,"['Records manager', 'Television floor manager', 'Engineer, maintenance (IT)', 'Engineer, mining', 'Orthoptist', 'Nurse, mental health', ""Politician's assistant"", 'Investment banker, corporate', 'Engineer, production']","[['able', 'nothing', 'kind', 'game', 'his'], ['modern', 'majority', 'sort', 'another'], ['degree', 'organization', 'join', 'glass', 'sea'], ['system', 'represent', 'really'], ['investment', 'activity', 'piece'], ['issue', 'some', 'throw', 'read'], ['never', 'hour'], ['prevent', 'visit', 'prove', 'senior', 'break'], ['behind']]"
Villarreal LLC,05:09 - 12:44,"['Engineer, electronics', 'Prison officer', 'Curator', 'Hydrologist']","[['million', 'boy'], ['stop'], ['win', 'over'], ['too', 'article']]"
Bridges-Moore,08:28 - 20:41,"['Communications engineer', 'Engineer, broadcasting (operations)', 'Agricultural engineer', 'Veterinary surgeon', 'Psychotherapist, dance movement', 'Chartered legal executive (England and Wales)', 'Fish farm manager']","[['challenge', 'remember', 'continue', 'low'], ['skill'], ['sea', 'attorney'], ['bit', 'forget', 'themselves', 'force', 'base'], ['move', 'billion'], ['race', 'catch', 'stock', 'all', 'dinner'], ['road', 'whose', 'itself']]"
"Melendez, Cortez and Davis",02:36 - 17:01,"['Loss adjuster, chartered', 'Scientist, water quality']","[['word', 'product', 'billion'], ['state']]"
Ray Ltd,07:15 - 10:50,"['Geoscientist', 'Meteorologist', 'Production engineer']","[['the', 'last', 'between', 'sea', 'pretty'], ['second', 'under', 'idea'], ['nice', 'project', 'simply', 'little', 'whom']]"
Ramirez-Wood,11:19 - 17:06,"['Producer, television/film/video', 'Civil Service administrator', 'Rural practice surveyor']","[['standard'], ['different'], ['town', 'happen', 'day', 'fill']]"
Campos Inc,06:29 - 01:27,"['Social research officer, government', 'Environmental manager', 'Fitness centre manager', 'Sales promotion account executive', 'Records manager', 'Lexicographer', ""Nurse, children's"", 'Industrial/product designer']","[['nearly', 'similar', 'police', 'small'], ['produce'], ['discussion', 'statement'], ['artist', 'model', 'expert', 'western'], ['player', 'capital'], ['four', 'cost'], ['notice', 'reach', 'moment'], ['side', 'maybe', 'treatment', 'painting', 'lead']]"
Werner-Martin,20:22 - 13:02,['Barista'],"[['marriage', 'in']]"
Burke PLC,13:04 - 05:54,"['Consulting civil engineer', 'Pilot, airline', 'Physicist, medical', 'Herbalist']","[['student', 'detail', 'skill', 'really'], ['share', 'car', 'sign', 'building', 'concern'], ['who', 'amount', 'show', 'three'], ['necessary']]"
"Walsh, Howell and Miller",17:34 - 01:50,['Visual merchandiser'],"[['company', 'yet', 'less']]"
Fox-Woods,13:51 - 06:51,"['Materials engineer', 'Electrical engineer', 'Architectural technologist', 'Retail banker', 'Neurosurgeon', 'Film/video editor']","[['growth', 'heavy', 'newspaper', 'then'], ['why', 'value', 'much', 'past', 'place'], ['might'], ['over'], ['author', 'much'], ['back', 'father']]"
